省份,地区数量,主要城市
北京市,17,北京市
上海市,17,上海市
天津市,17,天津市
重庆市,39,重庆市
黑龙江省,135,"大兴安岭地区, 绥化市, 伊春市, 鹤岗市, 鸡西市"
吉林省,69,"白城市, 长春市, 延边朝鲜族自治州, 白山市, 松原市"
辽宁省,114,"大连市, 辽阳市, 鞍山市, 铁岭市, 朝阳市"
内蒙古自治区,115,"通辽市, 呼伦贝尔市, 乌海市, 乌兰察布市, 锡林郭勒盟"
河北省,179,"雄安新区, 保定市, 秦皇岛市, 沧州市, 石家庄市"
山西省,128,"临汾市, 运城市, 太原市, 吕梁市, 晋城市"
陕西省,117,"西安市, 铜川市, 安康市, 渭南市, 榆林市"
山东省,152,"济南市, 烟台市, 淄博市, 日照市, 潍坊市"
新疆维吾尔自治区,122,"新星市, 可克达拉市, 克孜勒苏柯尔克孜自治州, 白杨市, 北屯市"
西藏自治区,81,"阿里地区, 山南市, 拉萨市, 日喀则市, 昌都市"
青海省,53,"海北藏族自治州, 西宁市, 海南藏族自治州, 海西蒙古族藏族自治州, 海东市"
甘肃省,100,"兰州市, 庆阳市, 临夏回族自治州, 嘉峪关市, 金昌市"
宁夏回族自治区,27,"中卫市, 固原市, 吴忠市, 银川市, 石嘴山市"
河南省,174,"郑州市, 开封市, 南阳市, 商丘市, 平顶山市"
江苏省,108,"镇江市, 无锡市, 常州市, 盐城市, 南京市"
湖北省,116,"荆州市, 恩施土家族苗族自治州, 武汉市, 鄂州市, 宜昌市"
浙江省,101,"嘉兴市, 丽水市, 宁波市, 金华市, 衢州市"
安徽省,120,"滁州市, 铜陵市, 蚌埠市, 宿州市, 六安市"
福建省,93,"龙岩市, 漳州市, 福州市, 宁德市, 莆田市"
江西省,111,"萍乡市, 上饶市, 九江市, 吉安市, 抚州市"
湖南省,136,"株洲市, 郴州市, 长沙市, 岳阳市, 怀化市"
贵州省,97,"黔西南布依族苗族自治州, 安顺市, 黔东南苗族侗族自治州, 遵义市, 贵阳市"
四川省,204,"南充市, 雅安市, 阿坝藏族羌族自治州, 广元市, 广安市"
广东省,143,"湛江市, 肇庆市, 河源市, 阳江市, 云浮市"
云南省,145,"丽江市, 西双版纳傣族自治州, 德宏傣族景颇族自治州, 怒江傈僳族自治州, 普洱市"
广西壮族自治区,125,"百色市, 来宾市, 桂林市, 防城港市, 崇左市"
海南省,29,"万宁市, 琼中黎族苗族自治县, 东方市, 三亚市, 三沙市"
香港特别行政区,20,香港特别行政区
澳门特别行政区,11,澳门特别行政区
台湾省,363,"台东县, 台中市, 彰化县, 桃园市, 嘉义市"
